Date,Open,High,Low,Close,Volume,Adj Close
2004-01-02,83.169998,83.690002,82.519997,82.650002,4172800,29.305879
2004-01-05,83.849998,85.160004,83.709999,84.900002,6184200,30.103679
2004-01-06,84.32,84.470001,83.199997,83.400002,6190400,29.571812
2004-01-07,83.519997,83.519997,82.309998,82.489998,6203200,29.249145
2004-01-08,82.739998,83.190002,81.75,81.849998,4844400,29.022215
2004-01-09,81.050003,81.650002,80.199997,80.449997,6068600,28.525805
2004-01-12,81.099998,82.699997,81.059998,82.449997,4166200,29.234961
2004-01-13,82.949997,83.599998,80.970001,82.50,5228200,29.252691
2004-01-14,82.470001,84.07,82.470001,83.699997,4498000,29.678184
2004-01-15,84.00,85.00,82.589996,83.379997,3720600,29.69599
2004-01-16,84.00,84.949997,83.660004,84.139999,5083400,29.966667
2004-01-20,83.599998,84.010002,82.150002,82.150002,4803400,29.257924
2004-01-21,82.209999,83.519997,81.440002,83.400002,4066600,29.703114
2004-01-22,83.550003,84.709999,83.129997,84.00,4110800,29.916805
2004-01-23,84.080002,84.169998,83.150002,84.169998,4675200,29.977351
2004-01-26,83.699997,85.089996,82.669998,85.010002,4635000,30.27652
2004-01-27,85.699997,85.699997,82.00,82.00,9249000,29.2045
2004-01-28,81.300003,82.150002,79.199997,79.620003,7843000,28.356859
2004-01-29,80.00,80.160004,76.75,77.260002,10858000,27.516339
2004-01-30,77.050003,78.449997,77.010002,78.129997,9041400,27.82619
2004-02-02,78.25,78.550003,77.230003,77.489998,7814400,27.598252
2004-02-03,77.449997,77.449997,76.419998,77.040001,8211000,27.437985
2004-02-04,76.25,76.519997,75.769997,75.900002,8467000,27.031971
2004-02-05,75.800003,77.139999,75.279999,76.32,7881000,27.181554
2004-02-06,76.400002,78.82,76.400002,78.50,5229600,27.957967
2004-02-09,78.459999,78.68,77.519997,77.669998,2939600,27.66236
2004-02-10,77.540001,77.800003,76.150002,76.559998,5732600,27.26703
2004-02-11,76.309998,78.959999,76.019997,78.959999,6356600,28.121797
2004-02-12,78.75,79.25,78.169998,78.690002,3096400,28.025637
2004-02-13,78.50,79.059998,77.300003,77.419998,3749000,27.573322
2004-02-17,78.650002,79.889999,78.50,79.519997,4740000,28.321241
2004-02-18,79.220001,79.550003,78.269997,78.910004,3079400,28.103991
2004-02-19,79.25,79.730003,78.480003,78.529999,3372800,27.968651
2004-02-20,78.529999,78.650002,76.089996,76.82,5351200,27.359631
2004-02-23,77.199997,77.82,76.559998,77.220001,3589400,27.502092
2004-02-24,76.800003,77.50,76.360001,76.699997,3252200,27.316891
2004-02-25,76.650002,77.50,76.169998,77.18,3886600,27.487846
2004-02-26,77.00,78.559998,76.860001,77.949997,3620400,27.762082
