class,symbol,datetime,sl3,sl6,sl12,sl20,sl30,sl60,sl90,sbm10,sbm20,sam10,sam20,ram20,ram30,rbm10,rbm20,sam90,sam180,sam360,sbm90,sbm180,sbm360
0,slv,2007-02-16,24.153,18.426,23.737,42.965,35.003,17.824,11.883,43.147,43.147,38.008,42.965,0.086,0.142,0.009,0.009,48.885,48.885,48.885,43.147,43.147,43.147
1,slv,2007-02-20,-55.151,-1.932,11.332,35.576,44.216,16.351,10.901,55.151,55.151,26.194,35.576,0.071,0.133,0.017,0.017,44.216,44.216,44.216,55.151,55.151,55.151
0,slv,2007-02-21,55.428,72.208,49.283,35.286,53.637,21.580,14.387,0.000,0.000,48.650,50.274,0.080,0.161,0.000,0.000,53.229,53.229,53.229,0.000,0.000,0.000
1,slv,2007-02-22,68.101,46.374,46.324,37.107,47.217,21.593,14.395,0.000,0.000,43.859,47.362,0.081,0.154,0.000,0.000,51.591,51.591,51.591,0.000,0.000,0.000
0,slv,2007-02-23,178.390,60.144,56.209,48.268,58.057,26.145,17.430,0.000,0.000,85.785,59.246,0.107,0.182,0.000,0.000,58.565,58.565,58.565,0.000,0.000,0.000
0,slv,2007-02-26,121.028,89.235,68.070,50.318,65.338,28.415,18.943,0.000,0.000,90.229,62.983,0.120,0.196,0.000,0.000,60.974,60.974,60.974,0.000,0.000,0.000
0,slv,2007-02-27,-34.309,16.546,17.577,34.697,32.838,19.655,13.104,449.011,449.011,32.659,34.697,0.069,0.119,0.045,0.045,43.743,43.743,43.743,449.011,449.011,449.011
0,slv,2007-02-28,-92.465,40.488,19.255,29.899,42.072,20.797,13.865,195.252,195.252,40.488,29.899,0.060,0.126,0.039,0.039,44.490,44.490,44.490,195.252,195.252,195.252
0,slv,2007-03-01,-262.830,-75.672,-3.371,0.888,21.015,13.033,8.689,262.830,262.830,0.000,6.140,0.011,0.074,0.079,0.079,30.301,30.301,30.301,262.830,262.830,262.830
0,slv,2007-03-02,-275.661,-153.566,-55.733,-26.718,7.300,4.247,2.831,309.715,309.715,0.000,0.000,0.000,0.022,0.124,0.124,15.195,15.195,15.195,309.715,309.715,309.715
1,slv,2007-03-05,-371.917,-227.033,-87.541,-31.474,-6.562,-0.119,-0.080,292.537,292.537,0.000,0.000,0.000,0.000,0.146,0.146,7.877,7.877,7.877,292.537,292.537,292.537
0,slv,2007-03-06,-158.543,-204.436,-63.073,-20.167,0.570,4.486,2.991,204.436,204.436,276.516,276.516,0.028,0.028,0.123,0.123,14.805,14.805,14.805,204.436,204.436,204.436
0,slv,2007-03-07,5.694,-135.219,-60.008,-26.084,-8.781,4.539,3.026,174.842,174.842,139.852,139.852,0.028,0.028,0.122,0.122,14.524,14.524,14.524,174.842,174.842,174.842
0,slv,2007-03-08,97.219,-142.773,-52.876,-24.799,-7.320,4.738,3.159,151.711,151.711,97.219,97.219,0.029,0.029,0.121,0.121,14.471,14.471,14.471,151.711,151.711,151.711
0,slv,2007-03-09,-10.598,-84.318,-78.081,-32.511,-9.913,3.942,2.628,139.390,139.390,60.961,60.961,0.024,0.024,0.125,0.125,12.989,12.989,12.989,139.390,139.390,139.390
0,slv,2007-03-12,11.886,8.801,-72.788,-31.146,-10.208,5.149,3.433,119.260,119.260,63.272,63.272,0.032,0.032,0.119,0.119,14.392,14.392,14.392,119.260,119.260,119.260
0,slv,2007-03-13,-58.072,18.727,-105.429,-33.284,-11.121,1.752,1.168,112.881,124.251,18.727,18.727,0.011,0.011,0.102,0.137,9.400,9.400,9.400,124.251,124.251,124.251
1,slv,2007-03-14,-14.002,-12.278,-107.604,-36.229,-13.180,3.225,2.150,93.735,107.604,28.688,28.688,0.020,0.020,0.094,0.129,11.178,11.178,11.178,107.604,107.604,107.604
1,slv,2007-03-15,-3.862,4.005,-65.769,-38.903,-14.427,4.950,3.300,44.978,92.523,38.051,38.051,0.030,0.030,0.045,0.120,13.212,13.212,13.212,92.523,92.523,92.523
0,slv,2007-03-16,105.595,22.842,-60.944,-30.820,-12.569,7.087,4.725,0.000,78.091,48.078,48.078,0.043,0.043,0.000,0.109,15.691,15.691,15.691,78.091,78.091,78.091
1,slv,2007-03-19,78.640,32.154,-26.896,-28.703,-7.193,7.233,4.822,0.000,72.386,44.147,44.147,0.044,0.044,0.000,0.109,15.555,15.555,15.555,72.386,72.386,72.386
0,slv,2007-03-20,84.036,40.038,24.525,-19.326,-4.490,9.277,6.185,0.000,61.314,89.362,51.290,0.056,0.056,0.000,0.098,17.774,17.774,17.774,61.314,61.314,61.314
0,slv,2007-03-21,58.051,82.742,51.199,-30.457,-7.103,10.113,6.742,0.000,55.186,82.742,51.199,0.061,0.061,0.000,0.094,18.440,18.440,18.440,55.186,55.186,55.186
0,slv,2007-03-22,72.757,76.557,31.857,-28.058,-4.906,11.029,7.353,0.000,49.512,78.690,51.490,0.067,0.067,0.000,0.089,19.175,19.175,19.175,49.512,49.512,49.512
1,slv,2007-03-23,-33.944,24.618,14.341,-48.389,-15.201,7.485,4.990,199.418,56.466,42.553,32.615,0.046,0.046,0.020,0.107,14.676,14.676,14.676,56.466,56.466,56.466
0,slv,2007-03-26,3.003,30.553,26.907,-46.500,-11.444,10.272,6.848,21.286,46.500,56.212,41.597,0.062,0.062,0.004,0.093,17.598,17.598,17.598,46.500,46.500,46.500
1,slv,2007-03-27,-50.539,10.557,21.457,-30.380,-10.028,8.335,5.556,50.539,34.988,39.086,31.726,0.051,0.051,0.015,0.066,15.098,15.098,15.098,49.015,49.015,49.015
0,slv,2007-03-28,52.330,8.926,24.589,-28.212,-11.424,10.219,6.813,11.390,28.212,41.169,36.516,0.062,0.062,0.005,0.056,16.911,16.911,16.911,42.396,42.396,42.396
0,slv,2007-03-29,-19.502,-8.258,37.037,-10.561,-18.257,9.237,6.158,20.166,10.561,24.979,31.211,0.056,0.056,0.010,0.021,15.548,15.548,15.548,42.742,42.742,42.742
0,slv,2007-03-30,41.964,-4.606,35.870,18.403,-14.335,10.538,7.025,4.606,4.606,19.859,33.679,0.064,0.064,0.003,0.003,16.668,16.668,16.668,38.183,38.183,38.183
1,slv,2007-04-02,-21.509,15.242,20.042,27.612,-15.802,8.771,6.052,15.685,15.685,10.608,27.612,0.055,0.055,0.011,0.011,14.854,14.854,14.854,39.649,39.649,39.649
1,slv,2007-04-03,21.126,0.750,15.658,17.137,-10.926,15.921,6.901,4.761,4.761,23.516,34.043,0.051,0.063,0.004,0.004,15.921,15.921,15.921,35.612,35.612,35.612
1,slv,2007-04-04,55.672,49.168,30.019,26.163,-14.312,18.511,8.998,0.000,0.000,43.153,43.587,0.070,0.082,0.000,0.000,18.851,18.851,18.851,28.321,28.321,28.321
1,slv,2007-04-05,105.221,41.517,25.333,28.842,-12.337,16.566,9.750,0.000,0.000,45.555,44.964,0.076,0.089,0.000,0.000,19.673,19.673,19.673,25.245,25.245,25.245
1,slv,2007-04-09,90.468,56.084,23.774,32.867,-18.998,17.875,10.104,0.000,0.000,44.048,44.217,0.080,0.092,0.000,0.000,19.882,19.882,19.882,23.436,23.436,23.436
0,slv,2007-04-10,67.035,61.913,28.568,34.837,-19.298,21.128,11.414,0.000,0.000,55.783,48.028,0.091,0.104,0.000,0.000,21.471,21.471,21.471,19.298,19.298,19.298
0,slv,2007-04-11,27.819,66.959,41.406,42.711,-6.292,12.963,10.759,53.437,53.437,44.593,42.711,0.085,0.098,0.005,0.005,20.205,20.205,20.205,20.300,20.300,20.300
1,slv,2007-04-12,27.007,59.104,29.941,39.450,-7.410,16.863,11.086,13.359,13.359,61.385,39.450,0.079,0.101,0.003,0.003,20.360,20.360,20.360,18.879,18.879,18.879
0,slv,2007-04-13,34.181,50.952,50.811,40.948,11.078,16.396,12.670,0.000,0.000,70.609,40.948,0.082,0.115,0.000,0.000,22.250,22.250,22.250,14.617,14.617,14.617
0,slv,2007-04-16,49.852,39.043,40.766,33.914,28.524,18.225,12.582,7.148,7.148,61.924,33.914,0.068,0.114,0.001,0.001,21.802,21.802,21.802,14.387,14.387,14.387
0,slv,2007-04-17,6.517,16.788,36.719,28.047,34.239,13.502,11.325,54.324,54.324,45.008,28.047,0.056,0.103,0.011,0.011,19.796,19.796,19.796,16.736,16.736,16.736
